id,ground_truth,text,implied_statement,implied_statement_without_target_info
hatespeech_target_414,white conservatives,. jeb cares about mestizos ( like his wife and kids )  he seems to loath white people .,White conservatives hate the white race.,"{'race', 'hate'}"
hatespeech_target_415,jewish people," white rhodesians  boers ; we knew about jews  trusted them as  "" white "" "" . we blinded ourselves 2 what jews did . """,Jews hate whites.,{'hate'}
hatespeech_target_416,minorities,white revolution *,Minorities are taking over.,{'taking'}
hatespeech_target_417,illegal immigrants,lets get ice to do a few raids in there & drain that swamp,Immigrants have to be deported,{'deported'}
hatespeech_target_418,jewish people,: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew,Jews are conspirators,{'conspirator'}
hatespeech_target_419,muslims,robert spencer in pj lifestyle : 5 ways the islamic war on free speech advanced last week,Muslims censor speech.,"{'speech', 'censor'}"
hatespeech_target_420,muslims,ur argument about white christians killing people is lame . sharia law is dangerous,Muslims are dangerous,{'dangerous'}
hatespeech_target_421,jewish people,nice strawman argument  but no  rich white politicians and jews are working against middle class and poor whites  yes .,Jews are devious,{'devious'}
hatespeech_target_422,antifa," with every  "" antifa "" "" aggression  the eyes and minds of whites will be opened  and our movement will grow ever stronger ! """,Antifa is aggressive.,{'aggressive'}
hatespeech_target_423,black people,anti-racist is just code for anti white . no one says that africa needs to have a blended humanity,Blacks are a substandard race.,"{'race', 'substandard'}"
hatespeech_target_424,antifa,so .. how do all those little black people like those mighty white antifa warriors defending thier existence . it must be refreshing to themlol,Antifa is defensive of black people.,{'defensive'}
hatespeech_target_425,white people,"honest inquiry for the , do you hate all non-white races equally? i seriously like the compassion displayed towards animals, though.",White folks hate non-white people.,{'hate'}
hatespeech_target_426,white people,what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,whites are smeared with hate speech,"{'speech', 'smeared', 'hate'}"
hatespeech_target_427,jewish people,israel has always been our enemy . jews hate white christians even more than muslims . #parisattaques,Jews promote hatred of whites.,"{'promote', 'hatred'}"
hatespeech_target_428,black people,: more diversity in obama's america : white couple brutally beaten by racist negroes for no reason,Black people hate white people,{'hate'}
hatespeech_target_429,jewish people,paul : what's wrong with all western nations is we're ruled by jews & have been poisoned by their false narratives,Jews are liars,{'liar'}
hatespeech_target_430,white people,you don't need those white people at your meetings . stand strong and assert your black identity and right to exclusive spaces !,White people aren't as important as black people.,{'important'}
hatespeech_target_431,illegal immigrants,"anywhere but where they are? back to their ancestral homelands, maybe?",Immigrants should be deported,{'deported'}
hatespeech_target_432,white people,keep it up . another one of your good ol white boys will break another record .,whites are racists,"{'s', 'are'}"
hatespeech_target_433,white people,picket businesses and even homes of anti white corporate filth ! no more mister nice guy ! white man fight !,White people need to fight for their rights.,"{'fight', 'need', 'right'}"
hatespeech_target_434,illegal immigrants,comprehensive #amnesty threat . rewarding #criminal behavior ... #immigration #mexico,Illegals are criminals.,{'are'}
hatespeech_target_435,minorities,race realist and proud white alt-righter using color of crime references,Minorities are criminals.,{'are'}
hatespeech_target_436,black people,they are all heros to the black community . make no mistake a whole lot of black people hate white people ! !,Blacks are racists,"{'s', 'are'}"
hatespeech_target_437,non white people,people encourage mixed race relationships which is breeding out the white race that's white racial genocide .,non-white people are impure,{'impure'}
hatespeech_target_438,muslims,they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up,Muslims are hateful,{'hateful'}
hatespeech_target_439,black people,new black panther leader : kill white babies by bombing nurseries #wr,Black people are violent,{'violent'}
hatespeech_target_440,muslims,islamists recruit refugees arriving in germany security agency #syrianrefugees #germany #islamicstate,Muslims promote terrorism.,"{'promote', 'terrorism'}"
hatespeech_target_441,illegal immigrants,over 80% of the filthy mud invaders do not have any qualifications which destroys zog's myth of the 'professional/highly skilled migrant'!,immigrants are dirty and hostile invaders that destroy civilized culture,"{'hostile', 'culture', 'invader', 'destroy', 'dirty', 'civilized'}"
hatespeech_target_442,jewish people,a racist : any white man who argues with a jew .,Jews are dishonest,{'dishonest'}
hatespeech_target_443,christians,christian leader : gay musical is ' sexual propaganda ' caught lying about obama  yet again,Christians hate gay people.,{'hate'}
hatespeech_target_444,illegal immigrants,no amnesty ! ! many will be able to apply for government jobs in d future  putting our national security at risk !,Illegals feed off the government,{'feed'}
hatespeech_target_445,jewish people,white people are the only people hate crime laws are suppose to apply to . any hate crime committed by any other race likely had jewish victims . only way for them to make the list .,Jews control the world,"{'world', 'control'}"
hatespeech_target_446,muslims," rt : sadly  muslims are like walking timebombs ! smiles  kindness   "" we love america "" "" then boooom ! #peace """,Muslims are conniving killers.,{'conniving'}
hatespeech_target_447,liberals,sjws are wrong . whites have been brainwashed to work against our own interests .,Liberals are stupid,{'stupid'}
hatespeech_target_448,white people,u are actually anti-white & a race traitor . what a coward  too scared to stand for his own . no black or asian would think like u .,whites are traitors to their race,"{'race', 'traitor'}"
hatespeech_target_449,black people,mayor signer omits salient facts about deandre harris attacking people with a flashlight . send him the picture,Blacks are violent criminals.,{'violent'}
hatespeech_target_450,illegal immigrants,good for poland. they will continue to exist as polish and not be overtaken by 3rd world hordes,IMMIGRANTS DESTROY COUNTRIES,"{'destroy', 'country'}"
hatespeech_target_451,non white people,are you talking about the same white supremacists who saved your people from genicide ?,non-white people are enemies,{'enemy'}
hatespeech_target_452,non white people,defend the aryan race . they'll learn from they're wide awake nightmare,non-white people are a threat,{'threat'}
hatespeech_target_453,white people,white genocide accelerates in sweden : university removes all portaits of white male professors #swrm,White genocide is happening,{'happening'}
hatespeech_target_454,jewish people,you can't be a jew and on the alt right . the alt right is woke to the jq,Jews are ignorant.,{'ignorant'}
hatespeech_target_455,black people,what percentage of blacks have white friends ? could it be that it's natural to prefer your own race ?,Blacks are hypocrites,{'hypocrite'}
hatespeech_target_456,muslims,bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir,Muslims are radicals,{'are'}
hatespeech_target_457,minorities,: kkklankkk white brotherhood unite,Minorities are inferior,{'inferior'}
hatespeech_target_458,illegal immigrants,hungry jungle people as competition let us get u.s.,Immigrants are primitive,{'primitive'}
hatespeech_target_459,white people,denmark . white america . someone honestly want to tell me the two aren't closer than mayans ?,White Americans are more European than Americans,"{'than', 'more', 'are'}"
hatespeech_target_460,jewish people,advocating in favor of white people is verboten goyim .,Jews are anti-white,{'anti'}
hatespeech_target_461,illegal immigrants,we really dont care about offending you fools..just stay there an slaughter eachother.fuqin animals,Immigrants should die,{'die'}
hatespeech_target_462,white people,whites need to gtfo of africa while they still can,White people need to leave Africa.,"{'africa', 'need', 'leave'}"
hatespeech_target_463,illegal immigrants,"people, get on the horn & call the senate now to stop this big govt dysfunction called #amnesty. time is running out! call now 202.224.3121",immigrants are not worth amnesty and should be kicked out,"{'kicked', 'amnesty', 'worth'}"
hatespeech_target_464,muslims,"usa,uk,fr,spn,itl,rus, spray pig blood over isis areas,bullets,mosques towns,water wells,mosquito spray truck 4 disbursement! fear",Muslim people should be killed,{'killed'}
hatespeech_target_465,minorities,white lion rising,Minorities are the inferior peoples.,"{'people', 'inferior'}"
hatespeech_target_466,white people,protest obama at the white house in washington d . c . brainwashing white people and controlling us on how to live,White people are easily controlled.,"{'easily', 'controlled'}"
hatespeech_target_467,progressives,now you have ' white guilt ' debates and anti-white agitation all over your country  blm  antifa etc . wish you lots of fun with that .,Progressives stir up trouble.,"{'stir', 'trouble'}"
hatespeech_target_468,jewish people,. when are you going to write about how jews destroy white institutions ? jews created this .,Jews are looking to wipe out white culture.,"{'culture', 'looking', 'wipe'}"
hatespeech_target_469,non white people,nope the uk i'm from was all white different sub groups of white but still homogenous white are achievements are white .,non-white people are unaccomplished,{'unaccomplished'}
hatespeech_target_470,white people,white pride march in wales passes off peacefully via,White people are peaceful.,{'peaceful'}
hatespeech_target_471,non white people,traitor . there's nothing worse than an #antiwhite white person .,non-white people are inferior,{'inferior'}
hatespeech_target_472,black people,i live in maxine waters district  she's always been one of the most racist politicians in america . to her hating white people isn't racist .,Black people are racist.,{'are'}
hatespeech_target_473,non white people,white americans have remained shockingly european despite decades of race mixing propaganda via,non-white people dilute the white gene pool,"{'gene', 'pool', 'dilute'}"
hatespeech_target_474,illegal immigrants,out those dunces,Immigrants should be deported,{'deported'}
hatespeech_target_475,jewish people,strange how no sudden 6million dip in jewish population figures .,Jews embellish their persecution,"{'persecution', 'embellish'}"
hatespeech_target_476,illegal immigrants,illegal immigration is theft,Immigrants are thieves.,{'thief'}
hatespeech_target_477,non white people,republicans like the ones the gop tries to fob off on white america ? ! they are no better than democrats !,non-white people are duplicitous,{'duplicitous'}
hatespeech_target_478,black people,oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !,Black people want to kill white people.,"{'kill', 'want'}"
hatespeech_target_479,jewish people," rt back from israel  where you see  "" that inner freedom  that simple dignity "" "" of "" "" people who remember their heritage & are loyal to their fate . "" "" """,Jews have no loyalty,{'loyalty'}
hatespeech_target_480,asian people,"typical! same with buddha! he thinks he's so high and mighty, ommmmm-bullshit buddha!",Asian people are stupid,{'stupid'}
hatespeech_target_481,non white people,the last stand of implicit white identity .,non-white people are inferior,{'inferior'}
hatespeech_target_482,illegal immigrants,deportable illegals? what? every illegal alien parasite in the usa are deportable illegal aliens.,Immigrants contribute nothing to society,"{'nothing', 'contribute'}"
hatespeech_target_483,jewish people," the biggest lie of all is the fake jewish  "" holocaust "" "" narrative of wwii ! on the importance of exposing the holohoax """,Jewish people are making up the Halocaust,"{'making', 'halocaust'}"
hatespeech_target_484,jewish people,will mike tell us how jewish wives are the last stand of implicit white identity ?,Jews are inferior to whites,{'inferior'}
hatespeech_target_485,non white people,white genocide accelerates in france : at least 1 in 3 newborns are non-white | more : via,non-white people are dangerous,{'dangerous'}
hatespeech_target_486,white people,white south africans trapped like frogs in boiling water anti-white racial violence escalates #swrm #whitegenocide,White people in South Africa are facing violence,"{'facing', 'violence'}"
hatespeech_target_487,muslims,yes evidently spreading racist anti white  anti western lies and propaganda . europe has gone muslim . are you jew,Muslims are against white people.,"{'against', 'are'}"
hatespeech_target_488,white people,the first college was built in africa . the second college of the world was built in spain by africans . u will say africans are white . lol,White people think black people are stupid,"{'stupid', 'think'}"
hatespeech_target_489,illegal immigrants,"tuskegee, al, which is home to their greatest businessmen, aviators and scientists, would be a food desert without federal assistance",Liberals are,{'are'}
hatespeech_target_490,muslims,: moderate islam is like being almost pregnant .,Muslims are extremists.,{'extremist'}
hatespeech_target_491,black people,black people fracture the skull of a white guy .. via,Black people are violent.,{'violent'}
hatespeech_target_492,black people,"actually, it's a result of the great great great grandchildren of those said slaves being a drain on society",Blacks are bad for society,{'bad'}
hatespeech_target_493,leftists,this is perfect . its okay to be white forces the left to show how much they hate ideas that are simply not their own .,Leftists are prejudiced,{'prejudiced'}
hatespeech_target_494,illegal immigrants,put nooses around them.,Immigrants should be killed,{'killed'}
hatespeech_target_495,white women," so this  "" white genocide "" "" thing you are talking about is obviously because you don't find white women attractive enough to mate . xd """,White women are ugly.,{'ugly'}
hatespeech_target_496,white people,poor white people = = = > via,white people are poor,{'poor'}
hatespeech_target_497,minorities,how the south will rise again : dixie in forbes  demographer joel kotkin sees the sunbelt south becoming even mor ...,Minorities are substandard races,"{'race', 'substandard'}"
hatespeech_target_498,muslims,to put up with you for a few more months you get an eviction notice from the white house no more muslim in the white house,muslim's are anti american,{'anti'}
hatespeech_target_499,no specific group,"line them up bang, bang",See above,{'see'}
hatespeech_target_500,muslims,"sickening, disheartening to see civilization actively participate in its own demise. muslims intend t",Muslims destroy the very nature of civilisation,"{'destroy', 'civilisation', 'nature'}"
hatespeech_target_501,black people,too bad your people are turning into soap in south africa .,Black people kill white people in South Africa,{'kill'}
hatespeech_target_502,illegal immigrants,kick those scums out ! great job. they are a plague.,Immigrants are a disease,{'disease'}
hatespeech_target_503,minorities,it has nothing to do with being american but everything to with the preservation of the white race .,Minorities are lower races than whites,"{'race', 'lower'}"
hatespeech_target_504,liberals,anti-racist usually means anti-white . whites are only 8 % of world's population  and when you take out the liberals we are a real minority .,Liberals don't like white people.,{'like'}
hatespeech_target_505,white people,white self hate .,white guilt,{'guilt'}
hatespeech_target_506,jewish people,german #holocaust #revisionist patriot horst mahler arrested in hungary via,Jews are liars,{'liar'}
hatespeech_target_507,muslims,another muslim in the white house,Muslims don't belong in the white house.,"{'house', 'belong'}"
hatespeech_target_508,illegal immigrants,we need to stop the flow of immigration in our country! all must be vetted! just obey the laws! deport criminals!,Immigrants are criminals.,{'are'}
hatespeech_target_509,muslims,there are muslims who do not want to see sharia or jihad against the infidel in ameri,Muslims are peaceful.,{'peaceful'}
hatespeech_target_510,muslims,your civility in your posts is inspiring . geller is racist ? what race is jihad terror agnst innocent civilians ?,Muslims kill innocent people,"{'kill', 'people', 'innocent'}"
hatespeech_target_511,jewish people,israel spies on america to make the first move against the white race via,Jews are looking to destroy the white race.,"{'destroy', 'looking', 'race'}"
hatespeech_target_512,white people,next it will be : if a white male and white female reproduce  they produce an unfair advantage to non-whites .,White people have an advantage over non-whites.,{'advantage'}
hatespeech_target_513,muslims,doesn't understand  is her #leftism speeds the growth of #islam & #sharia .,Muslims want to subject the world to Sharia Law,"{'subject', 'world', 'law', 'want'}"
hatespeech_target_514,minorities,from its ashes a white centric nationalist party is born,Minorities are subpar races,"{'race', 'subpar'}"
hatespeech_target_515,minorities,there it is kids ... death of the white race ...,Minorities look to the destruction of white culture.,"{'culture', 'look', 'destruction'}"
hatespeech_target_516,illegal immigrants,"free food, free rent, free healthcare, every man woman and child on the face of the earth receiving free ? priceless!",Immigrants are taking advantage of our country,"{'taking', 'country', 'advantage'}"
hatespeech_target_517,black people,i assume it's about how the africans freed themselves from evil whites owners . with . no . help . at . all .,Blacks are dishonest.,{'dishonest'}
hatespeech_target_518,muslims," rt : eyewitness tells bbc terrorist ran at people with knife shouting  "" this is for allah "" "" . #londonbridge """,Muslims are violent,{'violent'}
hatespeech_target_519,white people,you live in kirkland  wa . a white suburb of a white city in a white state . your own parishioners would never live there were it 75 % black  rather than 1.8 % . you decry segregation while living in a town priced so high that you're protected from ever worrying about black neighbors .,White people don't want to live with black people.,"{'want', 'live'}"
hatespeech_target_520,muslims,where is new testament says to kill rape anyone ? nowhere . prophet koran hadith command you to kill rape nonbelievers if you want go heaven,Muslims promote murder.,"{'murder', 'promote'}"
hatespeech_target_521,illegal immigrants,it's illegal! go get a dictionary and see the meaning! if you can't speak english get a spanish one!,Implying immigrants are illegal.,"{'illegal', 'implying'}"
hatespeech_target_522,black people,hunt for white women : black racist serial killer confesses to 41 murders | read more : via,black people are killers.,{'are'}
hatespeech_target_523,minorities,14 reasons for white pride in america . ( elaboration  details  and sources . ),Minorities are inferior to whites,{'inferior'}
hatespeech_target_524,people of color,white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .,People of color are inferior to white people,{'inferior'}
hatespeech_target_525,black people,: nothing to see here . we all know black on black and black on white crime is acceptab,Black people are allowed to commit crimes.,"{'crime', 'allowed', 'commit'}"
hatespeech_target_526,black people,another white officer killed by a black thug . obama and his race baiters must be smiling from ear to ear .,Blacks are violent criminals.,{'violent'}
hatespeech_target_527,minorities,you think white children shld have thr countries colonized and destroyed ... bc white colonialism happened ?,Minorities ruin society,{'ruin'}
hatespeech_target_528,minorities,i'll sleep better knowing majin boo is protecting the white race . he was the hardest boss on some snes,Minorities want to harm whites.,"{'want', 'harm'}"
hatespeech_target_529,no specific group,"what if i just laugh and point a finger at you?aww, can't shoot me. poor little tough guy.",the group want to shoot people.,"{'people', 'group', 'shoot', 'want'}"
hatespeech_target_530,illegal immigrants,close down the borders!! allow non government working class to watch them,immigrants should be prevented from entering the country,"{'country', 'entering', 'prevented'}"
hatespeech_target_531,minorities,... emotional condemnations of women  gays  jews  nonwhites  and any other people incapable of creating civilization .,Minorities are inferior people,"{'people', 'inferior'}"
hatespeech_target_532,white people,group behind has an ugly  hateful record and was founded by white nationalist john tanton .,White people are racists,"{'s', 'are'}"
hatespeech_target_533,jewish people,sorry but jews aren't white,Jews are substandard,{'substandard'}
hatespeech_target_534,minorities,all american poor communities black white asian hispanic mexican . i just don't see controversy,minorities are poor,{'poor'}
hatespeech_target_535,minorities,anp activists have distributed many thousands of leaflets over the past couple months  let's get some stickers out there now ! great job all,Minorities are inferior to whites,{'inferior'}
hatespeech_target_536,minorities,you don't look white lol,minorities are inferior,{'inferior'}
hatespeech_target_537,no specific group,"in families, in schools, in universities, prisons, in the military as chaplains. and we cant allow them to pursue their aims unchecked.",the group should not have the same job than us.,"{'group', 'job', 'u'}"
hatespeech_target_538,minorities,ffs  moses wasn't a white guy . #boycottexodusmovie #systemicracism #whitewashing,Minorities promote lies,"{'promote', 'lie'}"
hatespeech_target_539,muslims," rt :  "" breadth of the benefits the family was receiving was stunning "" "" : boston jihadis ' family raked in $ 100000 in welfare """,Muslims are violent and steal.,"{'steal', 'violent'}"
hatespeech_target_540,white people,more black white supremacists .,whites feel superior,"{'feel', 'superior'}"
hatespeech_target_541,minorities,white power via,Minorities are lower than whites.,{'lower'}
hatespeech_target_542,illegal immigrants,"no daca, no free rides, no special protections for illegal immigrants, deport the bad guys, better vetting process is needed now.",Immigrants should be vetted or deported,"{'vetted', 'deported'}"
hatespeech_target_543,white people,"  "" america's sheriffs ... very white sheriffs ... """,Whites use power to keep others down,"{'keep', 'use', 'power', 'others'}"
hatespeech_target_544,non white people,indigenous people don't realize if they want to live a comfortable capitalist nuclear family life  they must also support nazism .,non-white people destroy families,"{'destroy', 'family'}"
hatespeech_target_545,jewish people,jews and white nationalism go together like fire & diarrhea . #tcot #cuckservative,Jews are not like white nationalists.,{'like'}
hatespeech_target_546,minorities,white people are the mainstream . accept it . it's a good thing .,Minorities are second class citizens,"{'class', 'second', 'citizen'}"
hatespeech_target_547,minorities,they say they are anti-racist  but what they really are is anti-white ! via,Minorities are anti white.,{'anti'}
hatespeech_target_548,illegal immigrants,texas a & m . #projectsiege,Immigrants have to be deported from Texas,"{'texas', 'deported'}"
hatespeech_target_549,progressives,we obviously need a nation for white people . and the antifa white race traitors can live with the black people .,Progressives are in opposition to the white race.,"{'race', 'opposition'}"
hatespeech_target_550,minorities,subscribe to the realist report ! support pro-white independent media and help us grow !,Minorities are inferior to whites.,{'inferior'}
hatespeech_target_551,white people,hey wants to join  as he / she is the perfect racist seems 2hate white people  be gms'new friend,White people are bad.,{'bad'}
hatespeech_target_552,illegal immigrants,"apple capital of the world in central wa state has thousands illegal aliens working in apple sheds. wenatchee, yakima etc please help",Illegal immigrants are stealing jobs,"{'stealing', 'job'}"
hatespeech_target_553,minorities,the white european race and its age-old struggle :,Minorities are taking over the world.,"{'taking', 'world'}"
hatespeech_target_554,conservatives,conservatism lies and lies some more to suppress european heritage .,Conservatives are dishonest.,{'dishonest'}
hatespeech_target_555,white people,future white jihadist inshatler,whites are racists,"{'s', 'are'}"
hatespeech_target_556,white people,nuance is that evropa is not even an english word  is from the balkan  you idiot ! ur ancestors would be ashamed sestra :),Whites are ignorant,{'ignorant'}
hatespeech_target_557,white people,been called trumpkins  stupid  misogynists  racists  white supremacists  deplorables  & russiansjust dont ever call me democrat or liberal,whites are racists,"{'s', 'are'}"
hatespeech_target_558,white people,#altright are the only true right . the gop are marxist diversity enablers . white america deserves better than this !,White people deserve good things.,"{'deserve', 'good', 'thing'}"
hatespeech_target_559,white people," rt : trump is white . he's  "" racist "" "" by default.anti - racist is a code word for #antiwhite . """,White people are racist.,{'are'}
hatespeech_target_560,illegal immigrants,us citizens don't matter . especially if you're a white male . this is the new american illegal & nonenglish speaking,Illegals want to take power from US citizens.,"{'want', 'take', 'power'}"
hatespeech_target_561,white people,: and throw in weekly standard these filthy white trash disgust me,white people are trashy,{'trashy'}
hatespeech_target_562,jewish people,jewish harvard professor noel ignatiev wants to abolish the white race via #wr,Jews are oppressors,{'oppressor'}
hatespeech_target_563,illegal immigrants,"they are clearly so intellectually superior that they need to up the difficulty via new demographics. hold my ros pierre, i got this!",Immigrants are not intelligent,{'intelligent'}
hatespeech_target_564,illegal immigrants,"ship them to the soviet socialist republic of california, they'll protect them.",Immigrants should be deported,{'deported'}
hatespeech_target_565,asian people,humans must give up primitive food like meat of dog or beef or camel or donkey etc,Asian people are primitive beings because they only eat exotic foods,"{'exotic', 'primitive', 'eat', 'food', 'being'}"
hatespeech_target_566,white people,very existence of white race hinges on trump =,White people are in danger.,{'danger'}
hatespeech_target_567,jewish people,"the infiltration was done a long time ago by the jesuit order. your job is to become a slave now, go watch tv idiots.",Jews are powerfull.,{'powerfull'}
hatespeech_target_568,jewish people,( ( ( hello my fellow white people . ) ) ),Jews are not white,"{'not', 'are'}"
hatespeech_target_569,black people,if he were white  the media would be demanding every white person in americapay the first black person they see 100 dollars,Black people are coddled,{'coddled'}
hatespeech_target_570,black people,blacks behave well in black countries because they have laws made to control black people . ie  stronger laws !,Blacks need to be controlled.,"{'need', 'controlled'}"
hatespeech_target_571,liberals," only cucks and leftists love the censorship of the  "" free market "" "" it is the only way they stay relevant . """,Liberals want to censor others.,"{'want', 'censor', 'others'}"
hatespeech_target_572,white people,britain sees race war brewing between non-white invaders via,White race is at war with Non-whites,"{'war', 'race'}"
hatespeech_target_573,illegal immigrants,white western race nations are going through a rat infestation & when the white westerners are gone the remaning races will still be just rats,Immigrants are subhuman,{'subhuman'}
hatespeech_target_574,minorities,: proof of white genocide video :,Minorities are in favor of white extermination.,"{'favor', 'extermination'}"
hatespeech_target_575,black people,race relations in us is managed by a thin veneer of civility and doesn't take much to expose truth . blacks hate your white guts,Blacks are racists,"{'s', 'are'}"
hatespeech_target_576,antifa,photographer ? she looks like antifa to me looking for trouble . also  you need a dictionary to distinguish between a beating and a punch ?,Antifa are trouble.,{'trouble'}
hatespeech_target_577,black people,"it's a colorful language, ebonics is, has flavor, unlike vanilla white people & their stale linguistics",Avoid black people because of their colour.,"{'avoid', 'colour'}"
hatespeech_target_578,muslims,muslims always feel provoked and offended ... that's why islam has to be banned from democracies .,Muslims are sensitive.,{'sensitive'}
hatespeech_target_579,minorities,weknowwhoisbehind plot 2genocide white race,Minorities are in a conspiracy to destroy the white race,"{'destroy', 'race', 'conspiracy'}"
hatespeech_target_580,non white people,all white people lets make america better by supporting the and if any of the anp run for president or congress vote for them .,non-white people are inferior,{'inferior'}
hatespeech_target_581,black people," oh yeah thats not white geocide at all . not anti white racist at all . imagine saying  "" raising black families is dangerous . "" "" "" "" ali families . "" "" """,Blacks are hypocrites,{'hypocrite'}
hatespeech_target_582,non white people,hope it goes well for you guys  take the alt-right from online into the physical world .,non-white people deserve violence,"{'violence', 'deserve'}"
hatespeech_target_583,white people,i support the white brotherhood,White people are superior.,{'superior'}
hatespeech_target_584,white people,white identity politics does lift everyone . white race has been greatest good on the planet  race-wise .,White people are superior.,{'superior'}
hatespeech_target_585,muslims," boko haram leader :  "" kill  kill  kill  kill  kill christians ! "" "" """,Muslims preach hatred of christians,"{'hatred', 'preach'}"
hatespeech_target_586,white people,r u stupid ? there is no white irish person .. irish is a race.white is not.to call yourself white already puts u in the same culture,Whites are dumb,{'dumb'}
hatespeech_target_587,minorities," proliferating anti-white agenda  "" """,Minorities are opposed to whites,{'opposed'}
hatespeech_target_588,minorities," rt  "" national-socialism is race-based  which means that we look at every issue with the thought is it good or harmful to the white race ? "" "" """,Minorities are subpar races,"{'race', 'subpar'}"
hatespeech_target_589,jewish people,when white is rightwho wins ? jew b du b du,Jews are evil,{'evil'}
hatespeech_target_590,white people,of course it's racist  it was written by a white man of good character .,White people are racist.,{'are'}
hatespeech_target_591,no specific group,wow! something that actually makes sense! get them all!,The group don’t make sense usually.,"{'group', 'sense', 'usually', 'make'}"
hatespeech_target_592,white people,in meantime whites / alt-right must focus on helping themselves and establishing their own web tech to ev,White people need to stick together.,"{'need', 'stick', 'together'}"
hatespeech_target_593,people of color,are you a student and sick of the #antiwhite message on campus ? john us . #projectsiege,People of color don't like white people,{'like'}
hatespeech_target_594,white people,blacks cannot be racist . if she was racist she would go to jail . only white devils can be racist . may,white people are racist,{'are'}
hatespeech_target_595,no specific group,"now u have to pull out the dumb card, usually what happens when sub 100 iq pe",The group is faking being stupid when they do something bad.,"{'bad', 'group', 'stupid', 'faking', 'something'}"
hatespeech_target_596,white people,#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .,White people support only white people,{'support'}
hatespeech_target_597,no specific group,"well, first they're not human. second, it depends on what you cross. not every mixture's gonna give you white achievement.",The group are not human and are inferior.,"{'inferior', 'group', 'human'}"
hatespeech_target_598,muslims,these people are so evil that they even kill fellow muslims .,Muslims are killers.,{'are'}
hatespeech_target_599,minorities,are we for white immagration ?,Minorities are pushing out whites,{'pushing'}
hatespeech_target_600,minorities,people will rise up and take the country back  when they wake up  and they will wake up very soon .,Minorities are a threat,{'threat'}
hatespeech_target_601,minorities,dr . david duke : will the white race survive ? ( video ) va,Minorities are killing out the white race,"{'killing', 'race'}"
hatespeech_target_602,minorities,the end of a myth : most new serial killers in america are not white males | read more : via,Minorities perpetrate most killings.,"{'killing', 'perpetrate'}"
hatespeech_target_603,white people,white devil books,White people are evil.,{'evil'}
hatespeech_target_604,black people,most of you wouldn't even exist were it not for the billions in aid from white countries.,Black people are inferior to white people,{'inferior'}
hatespeech_target_605,minorities,white resistance increases as minority status looms #swrm #white via,Minorities are taking over.,{'taking'}
hatespeech_target_606,illegal immigrants,germany : never before seen ritual immigrant violence #swrm via,Immigrants are violent.,{'violent'}
hatespeech_target_607,muslims,why are you obsessed with few muslims when you know well that they will not vote for bjp ?,Muslims are closed minded and won't vote for a specific candidate,"{'vote', 'minded', 'closed', 'specific', 'candidate'}"
hatespeech_target_608,democrats,the demokkkrats are still the party of the klan . look at their racist remarks and all white candidates for the presidency,Democrats are racists.,"{'s', 'are'}"
hatespeech_target_609,minorities,good 1 . white people are toast with childish self prescrided spokesment like u at the helm .,Minorities want to destroy whites.,"{'destroy', 'want'}"
hatespeech_target_610,white people,america was founded by white people  you do realize that  right ?,White people belong in America.,{'belong'}
hatespeech_target_611,white people,cnn wants black people to think the president is racist . look around you,Whites promote racial division.,"{'promote', 'division', 'racial'}"
hatespeech_target_612,illegal immigrants,obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas,immigrants are a threat to the country.,"{'country', 'threat'}"
hatespeech_target_613,illegal immigrants,legal rule of law immigration . adopt mexico's immigration law & no voting rights  period !,Immigrants are inferior,{'inferior'}
hatespeech_target_614,minorities," rt : will a  "" collapse "" "" lead to a resurgence in white identity ? #tcot #race """,Minorities are incapable of leading,"{'leading', 'incapable'}"
hatespeech_target_615,white people,obviously you're projecting ... nobody asks for a pure white country  but a white state would be a great start ..,White people are better than the other races.,"{'race', 'better'}"
hatespeech_target_616,muslims,we don't want any of your muslims tho,Muslims should be deported,{'deported'}
hatespeech_target_617,jewish people,the hostility and contempt the jew has for the white man and his civilization cannot be more obvious . jews are openly at war with whites,Jews don't like white people.,{'like'}
hatespeech_target_618,minorities,"  "" ... protectors of white race ... "" "" florida skinheads arrested 4 preparing 4 race war | read more : via """,Minorities are at war with white culture.,"{'culture', 'war'}"
hatespeech_target_619,non white people,#rahowa - britain sees race war brewing between non-white invaders,Non-white people are invaders.,{'invader'}
hatespeech_target_620,illegal immigrants," i am an immigrant  vickie  i don't see  "" white christian "" "" males as a threat . you  however  are blinded by ignorance & hate . sucks to be you ! """,Immigrants are threatening.,{'threatening'}
hatespeech_target_621,white people,: i wish i didn't hate white people,White people are inferior,{'inferior'}
hatespeech_target_622,no specific group,"natural selection at work, weeding out the toxic members of our society",These people should die,{'die'}
