id,ground_truth,text,topic,generation,model
factuality_2114,Not-supported,He received the New Star Award at the 2019 SBS Drama Awards.,Song Kang,"Song Kang is a South Korean actor, born on April 23, 1994. He is best known for his lead role in the Netflix series Love Alarm, and his appearances in the television dramas The Liar and His Lover and When the Devil Calls Your Name. He has also appeared in several films and web dramas, including My First First Love and Sweet Home. He has received multiple awards for his acting, including the New Star Award at the 2019 SBS Drama Awards and the Best New Actor Award at the 2019 MBC Plus X Genie Music Awards.",InstructGPT
factuality_2115,Not-supported,Idriss Ngari is a composer.,Idriss Ngari,"Idriss Ngari is a multi-instrumentalist, composer, and arranger from Chad. He has been performing and composing music since he was a child, and has been performing around the world for over a decade. He is a virtuoso on the kora, and has performed in the United States, Europe, and Africa. His music is a unique blend of traditional African and contemporary elements, combining elements of jazz, funk, and traditional Chad music. He has collaborated with numerous artists, including Lionel Loueke, Angelique Kidjo, and Toumani Diabate. He has also released several solo albums and has composed for films and television.",InstructGPT
factuality_2116,Not-supported,Lanny Flaherty is a producer.,Lanny Flaherty,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer. He is best known for his roles in the television series The Closer, Rizzoli & Isles and the film American Pie. He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy. Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree. Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects. He has also directed episodes of the television series The Closer, Rizzoli & Isles and Without a Trace.",InstructGPT
factuality_2117,Not-supported,Maneka Gandhi has been actively involved in women's rights.,Maneka Gandhi,"Maneka Gandhi is an Indian politician, animal rights activist and environmentalist. She is a member of the Bharatiya Janata Party (BJP) and is the current Union Cabinet Minister for Women and Child Development. Before joining politics, she was a professional editor and journalist. She was also the editor of Surya, an influential Indian magazine. Maneka Gandhi has been actively involved in animal welfare and has founded many organisations like People for Animals, the nation's largest animal welfare organisation. She has been a major advocate of animal rights in India and has been involved in campaigns to end animal cruelty. Apart from animal welfare, Maneka Gandhi has been actively involved in other social causes like women's rights and environmental protection. She is also an advocate for the protection of India's wildlife and natural resources.",InstructGPT
factuality_2118,Not-supported,He is an Ambassador of the United States.,Luis Guillermo Rivera,"Luis Guillermo Rivera is a Guatemalan-born American businessman, diplomat, and philanthropist. He is the current Ambassador of the United States to Guatemala and a former partner at the international law firm Patton Boggs LLP. He is the son of former Guatemalan President Óscar Humberto Mejía Víctores and the brother of former Guatemalan Vice President Óscar Samuel Mejía Víctores. He is a graduate of the University of San Carlos in Guatemala, and of Georgetown University Law Center in Washington, DC. He has served on the board of directors of various organizations, including the Inter-American Foundation and the American Bar Association’s Center for Human Rights. He is a member of the Council on Foreign Relations and the Inter-American Dialogue. He was appointed Ambassador to Guatemala in January 2014.",InstructGPT
factuality_2119,Not-supported,He is the former president of the Indian Motion Pictures Producers Association.,Sajid Nadiadwala,"Sajid Nadiadwala is an Indian film producer and director. He is the founder of the production house Nadiadwala Grandson Entertainment Pvt. Ltd. He has produced over 50 films, including blockbusters such as Judwaa (1997), Housefull (2010), Kick (2014) and Baaghi (2016). He has also directed four films, including the comedy-drama Welcome Back (2015). Nadiadwala is a recipient of a National Film Award and two Filmfare Awards. He is also the former president of the Indian Motion Pictures Producers Association.",InstructGPT
factuality_2120,Not-supported,Her debut album is Con Pasión.,Roselyn Sánchez,"Roselyn Sánchez is a Puerto Rican singer, model, and actress. She was born on April 2, 1973, in San Juan, Puerto Rico. She started her career as a dancer, and eventually moved on to acting. She has had roles in films such as Rush Hour 2, Boat Trip, and The Game Plan. She is also known for her recurring roles in Without a Trace and Devious Maids. In addition, she is a singer, with her debut album Con Pasión released in 2003. She is also an active philanthropist, supporting many causes such as disaster relief and animal welfare.",InstructGPT
factuality_2121,Not-supported,He was appointed Australia's Ambassador in 2008.,Tim Fischer,"Tim Fischer (born 3 May 1946) is an Australian politician and diplomat. He is a former Deputy Prime Minister of Australia and leader of the National Party from 1990 to 1999. He was a Member of the House of Representatives for the electoral division of Farrer from 1984 to 2001. He was appointed Australia's Ambassador to the Holy See in 2008 and held this post until 2012. He was Deputy Prime Minister in the Howard Government from 1996 to 1999, and served as the Minister for Trade from 1996 to 1998. He was also the Minister for Transport and Regional Development from 1998 to 1999. Fischer was born in Lockhart, New South Wales, and later studied at the University of New England, Armidale, where he completed a Bachelor of Arts in Public Policy and Administration. He has since been awarded honorary doctorates from the University of New England and the University of Western Sydney. He is a passionate advocate of rail transport, and is the author of Aussie Logistics: The Train Journey of a Nation.",InstructGPT
factuality_2122,Not-supported,Scientist was born around 1961.,Scientist (musician),"Scientist (born Leighton H. Ford, c. 1961) is a Jamaican dub musician and producer. He is well known for his innovative production techniques and his production work with artists such as King Tubby, Lee ""Scratch"" Perry, and Augustus Pablo. Scientist has released several albums, including Scientist Rids the World of the Evil Curse of the Vampires (1981), Scientist Wins the World Cup (1982), and The Best Dub Album in the World (1985). He has been a major influence on the development of the dub genre, and his work is considered to be some of the most influential in the history of reggae music.",InstructGPT
factuality_2123,Not-supported,He has been awarded an honorary doctorate from the University of Western Sydney.,Tim Fischer,"Tim Fischer (born 3 May 1946) is an Australian politician and diplomat. He is a former Deputy Prime Minister of Australia and leader of the National Party from 1990 to 1999. He was a Member of the House of Representatives for the electoral division of Farrer from 1984 to 2001. He was appointed Australia's Ambassador to the Holy See in 2008 and held this post until 2012. He was Deputy Prime Minister in the Howard Government from 1996 to 1999, and served as the Minister for Trade from 1996 to 1998. He was also the Minister for Transport and Regional Development from 1998 to 1999. Fischer was born in Lockhart, New South Wales, and later studied at the University of New England, Armidale, where he completed a Bachelor of Arts in Public Policy and Administration. He has since been awarded honorary doctorates from the University of New England and the University of Western Sydney. He is a passionate advocate of rail transport, and is the author of Aussie Logistics: The Train Journey of a Nation.",InstructGPT
factuality_2124,Not-supported,He has composed for television.,Idriss Ngari,"Idriss Ngari is a multi-instrumentalist, composer, and arranger from Chad. He has been performing and composing music since he was a child, and has been performing around the world for over a decade. He is a virtuoso on the kora, and has performed in the United States, Europe, and Africa. His music is a unique blend of traditional African and contemporary elements, combining elements of jazz, funk, and traditional Chad music. He has collaborated with numerous artists, including Lionel Loueke, Angelique Kidjo, and Toumani Diabate. He has also released several solo albums and has composed for films and television.",InstructGPT
factuality_2125,Not-supported,He was elected to the office of the Chief Minister.,Jagan,"Jagan Mohan Reddy is an Indian politician and the current Chief Minister of Andhra Pradesh. He is the leader of the YSR Congress Party, and was elected to the office of the Chief Minister on 30 May 2019. He is the son of former Chief Minister of Andhra Pradesh, Y. S. Rajasekhara Reddy. Jagan studied his B.Com from Narayana Junior College in Hyderabad. He has a MBA from Princeton University, U.S.A. He was elected to the Lok Sabha from the Kadapa constituency in 2014. He was the leader of the opposition in the Andhra Pradesh Legislative Assembly from 2014 to 2019. He is credited for introducing several welfare schemes for the people of Andhra Pradesh in his short tenure as Chief Minister, including various health and education initiatives.",InstructGPT
factuality_2126,Not-supported,She has written several books.,Hibo Wardere,"Hibo Wardere is a Somali-born British activist and author. She has been a campaigner for female genital mutilation (FGM) for over two decades. She was born in Somalia in 1977 and moved to England with her family in 1990. She is an outspoken advocate for the rights of FGM survivors and campaigns for the abolition of FGM worldwide. She has written several books, including her memoir Cut: One Woman’s Fight Against FGM in Britain Today. She has received numerous awards and honors, including an MBE from Queen Elizabeth II in 2018 for her work in the fight against FGM.",InstructGPT
factuality_2127,Not-supported,Dominic is passionate about sport in general.,Dominic King,"Dominic King is a British journalist and television presenter. He is best known for his work on BBC's Match of the Day, BBC Radio 5 Live, and Sky Sports. He is currently the presenter of the BBC's flagship football show, Match of the Day and has presented BBC Radio 5 Live's The Monday Night Club, BBC Breakfast and Sky Sports' Soccer Saturday. He has also hosted the BBC's coverage of the FA Cup Final and was an integral part of the BBC's World Cup 2018 coverage. He is a regular contributor to BBC Radio 5 Live's Fighting Talk and Football Focus. He has also presented Sky Sports' Premier League Years. Dominic is a huge fan of Liverpool FC and is passionate about sport in general.",InstructGPT
factuality_2128,Not-supported,She has won three South Indian International Movie Awards.,Samantha Ruth Prabhu,"Samantha Ruth Prabhu is an Indian actress who is best known for her work in the Tamil and Telugu film industries. She made her film debut in the 2010 film Moscowin Kavery and has since then worked in a number of successful films. She has won several awards including three Filmfare Awards, three South Indian International Movie Awards, three Vijay Awards and one International Indian Film Academy Award. She is also a philanthropist and has been actively involved in a number of social causes.",InstructGPT
factuality_2129,Not-supported,He worked as a shopkeeper.,Paul Kruger,"Paul Kruger (1825–1904) was the president of the Transvaal Republic and a South African Boer leader who fought against the British in the Second Boer War. Born in the Cape Province of South Africa, Kruger was educated at mission schools and worked as a transport rider and shopkeeper before becoming a leader of the Boers. He was a member of the South African Republic's Volksraad (parliament) from 1858 to 1900 and its president from 1883 to 1900. He was responsible for the Transvaal's defense during the Second Boer War, but was eventually forced to surrender to the British in 1900. After the war, he went into exile in Europe, where he died in 1904.",InstructGPT
factuality_2130,Not-supported,Gerhard Fischer was born in 1936.,Gerhard Fischer (inventor),"Gerhard Fischer (1936-present) is an Austrian inventor and computer scientist. He is most well-known for inventing the Fischer Computer, a computer system used in the late 1970s to support the development of educational software. Fischer is also known for his work in the field of artificial intelligence and intelligent user interfaces. He has written extensively on the topics of user interface design, computer-supported cooperative work, and technology-supported learning. He has held professorships at several universities and is currently the director of the Center for Lifelong Learning and Design at the University of Colorado Boulder.",InstructGPT
factuality_2131,Not-supported,He died in 120 AD.,Quintus Sosius Senecio,"Quintus Sosius Senecio was a Roman politician who served as a consul in the year 97 AD. He was the son of Quintus Sosius Senecio and the brother of Lucius Sosius Senecio. He began his political career as a praetor urbanus before becoming a consul. He is best known for his involvement in the Roman-Parthian War of 97-99 AD. During this war, he was appointed as the governor of Cappadocia and was responsible for the Roman victory in Armenia. He later became a proconsul in Africa and was a close ally of Emperor Trajan. He died in the year 120 AD.",InstructGPT
factuality_2132,Not-supported,Santos has won two Billboard Latin Music Awards.,Henry Santos,"Henry Santos is a Dominican singer and songwriter who rose to fame as part of the popular bachata group Aventura. His career began in the mid-90s when the group formed, and he served as lead singer, songwriter, and producer. He has written and produced numerous hits for Aventura, including their number one single, ""Obsesión,"" which propelled them to international stardom. Santos has also written and produced solo material, releasing his debut album, Henry Santos, in 2011. He has collaborated with several other artists and producers, including Pitbull, Don Omar, and Wisin & Yandel. He is also an accomplished actor, appearing in the movie El Cantante, alongside Marc Anthony and Jennifer Lopez, and in the television series Ugly Betty. Santos has won numerous awards throughout his career, including three Latin Grammy Awards and two Billboard Latin Music Awards.",InstructGPT
factuality_2133,Not-supported,He left South Africa in 1965.,Lewis Nkosi,"Lewis Nkosi (1936-2010) was a South African writer, journalist, and activist. He was born in Johannesburg, South Africa, and attended Fort Hare University before becoming a journalist for the Rand Daily Mail in 1960. He was an outspoken critic of apartheid and his work was heavily censored by the government. He eventually left South Africa in 1965 and lived in exile in Britain, the United States, and Germany. He published several books of poetry, fiction, and non-fiction, including Mating Birds, The Transplanted Heart, and The Will to Die. In 2006, he was awarded the Order of Ikhamanga, one of South Africa's highest honors.",InstructGPT
factuality_2134,Not-supported,They have two children.,Marianne McAndrew,"Marianne McAndrew is an American actress best known for her roles in the 1970s films Grease and Airport 1975. She was born in Omaha, Nebraska on November 17th, 1947. She attended the University of Nebraska and earned a degree in drama and speech. She began her career in theater and moved to television and film in the late 1960s. Her most famous roles include Sandy in Grease and the flight attendant in Airport 1975. She also had a recurring role in the sitcom Taxi, and guest starred on numerous other shows. She is married to restaurateur Michael Tipps, and they have two children.",InstructGPT
factuality_2135,Not-supported,Oboh's work has been featured in The Guardian.,Samuel Oboh,"Samuel Oboh is a Nigerian filmmaker and photographer based in Lagos, Nigeria. He is best known for his short films and documentaries, which have been shown at international film festivals such as the Toronto International Film Festival and the International Documentary Festival of Amsterdam. His films often explore the themes of identity, power, and inequality in Nigeria. In addition to his filmmaking, Oboh is also an accomplished photographer, having had his work featured in the New York Times, The Guardian, and Al Jazeera. He is also an advocate for social justice, having served as a board member of the Global Initiative for Economic, Social and Cultural Rights. He continues to explore the nuances of identity and inequality through his art.",InstructGPT
factuality_2136,Not-supported,His music combines elements of jazz.,Idriss Ngari,"Idriss Ngari is a multi-instrumentalist, composer, and arranger from Chad. He has been performing and composing music since he was a child, and has been performing around the world for over a decade. He is a virtuoso on the kora, and has performed in the United States, Europe, and Africa. His music is a unique blend of traditional African and contemporary elements, combining elements of jazz, funk, and traditional Chad music. He has collaborated with numerous artists, including Lionel Loueke, Angelique Kidjo, and Toumani Diabate. He has also released several solo albums and has composed for films and television.",InstructGPT
factuality_2137,Not-supported,He was awarded the Order of the Chrysanthemum in 1983.,Takeo Miki,"Takeo Miki (1907-1988) was a Japanese politician who served as the Prime Minister of Japan from 1974 to 1976. He was a member of the Liberal Democratic Party and held many important positions in the party. He was a major proponent of the ""peace constitution"" and the Treaty of Mutual Cooperation and Security between Japan and the United States. Miki was born in Shiga Prefecture, Japan, and educated at Tokyo Imperial University, where he received a law degree. After World War II, he became a prominent figure in the Liberal Democratic Party. He was elected to the House of Representatives in 1947, and served in various cabinet positions, including Minister of Finance, Minister of Foreign Affairs, and Minister of International Trade and Industry. He was appointed Prime Minister in 1974 and served for two years until resigning due to poor health. In 1983, he was awarded the Order of the Chrysanthemum, one of Japan's highest honors. After his death in 1988, he was posthumously awarded the Grand Cordon of the Order of the Rising Sun.",InstructGPT
factuality_2138,Not-supported,She became Ambassador to Switzerland in 2013.,María Elena Medina-Mora Icaza,"María Elena Medina-Mora Icaza is a Mexican lawyer and diplomat. She was born in Mexico City in 1951 and graduated from the National Autonomous University of Mexico in 1974 with a degree in law. She then studied at the University of Paris II, Panthéon-Assas, where she earned a master's degree in 1979. She has served in various diplomatic posts, including Ambassador to the United Kingdom (1998–2002), Ambassador to the Netherlands (2005–2009), Ambassador to France (2010–2013), and Ambassador to Switzerland (2013–2015). She is currently the Permanent Representative of Mexico to the United Nations in New York. She has also held various positions within the Mexican government, such as Director of International Organizations and Conferences in the Ministry of Foreign Affairs, and Director of the Department of International Security and Disarmament in the same ministry. She is a member of the Mexican Academy of International Law.",InstructGPT
factuality_2139,Not-supported,Liverpool FC is a football club.,Dominic King,"Dominic King is a British journalist and television presenter. He is best known for his work on BBC's Match of the Day, BBC Radio 5 Live, and Sky Sports. He is currently the presenter of the BBC's flagship football show, Match of the Day and has presented BBC Radio 5 Live's The Monday Night Club, BBC Breakfast and Sky Sports' Soccer Saturday. He has also hosted the BBC's coverage of the FA Cup Final and was an integral part of the BBC's World Cup 2018 coverage. He is a regular contributor to BBC Radio 5 Live's Fighting Talk and Football Focus. He has also presented Sky Sports' Premier League Years. Dominic is a huge fan of Liverpool FC and is passionate about sport in general.",InstructGPT
factuality_2140,Not-supported,He acted in more than 30 movies.,Kyu Sakamoto,"Kyu Sakamoto (坂本 九, Sakamoto Kyū, born Hisashi Oshima, January 10, 1941 – August 12, 1985) was a Japanese singer and actor, best known outside Japan for his international hit song ""Sukiyaki"", which was released under the artist name Kyu Sakamoto in Japan and as ""Sukiyaki"" in the US. He also had a successful career in Japan as a singer and actor. He was born in Kawasaki, Kanagawa Prefecture, Japan, and started his career in 1959 as a singer of the group The Drifters. He released his first solo single, ""Ue o Muite Arukō"" (known in the United States as ""Sukiyaki"") in 1961. The song topped the Billboard Hot 100 chart in the US in 1963 and became a worldwide hit, selling over 13 million copies. He released more than 20 singles and 20 albums in his career, and acted in more than 30 movies and television dramas. He died in the crash of Japan Airlines Flight 123 in 1985.",InstructGPT
factuality_2141,Not-supported,He made his acting debut in 1999.,Kang Ji-hwan,"Kang Ji-hwan (born Jo Tae-gyu on March 20, 1977) is a South Korean actor. He made his acting debut in 1999 in the television drama ""Foolish Princes"". Since then he has appeared in numerous films and dramas, including the films My Tutor Friend (2003), The Unforgiven (2005), and My Girlfriend is an Agent (2009). He also starred in the popular dramas Be Strong Geum-soon (2005), Capital Scandal (2007), and East of Eden (2008). In 2019, he starred in the drama VIP. He is also an established musical theatre actor, having performed in productions such as Grease and Jekyll and Hyde.",InstructGPT
factuality_2142,Not-supported,He has presented Sky Sports' Premier League Years.,Dominic King,"Dominic King is a British journalist and television presenter. He is best known for his work on BBC's Match of the Day, BBC Radio 5 Live, and Sky Sports. He is currently the presenter of the BBC's flagship football show, Match of the Day and has presented BBC Radio 5 Live's The Monday Night Club, BBC Breakfast and Sky Sports' Soccer Saturday. He has also hosted the BBC's coverage of the FA Cup Final and was an integral part of the BBC's World Cup 2018 coverage. He is a regular contributor to BBC Radio 5 Live's Fighting Talk and Football Focus. He has also presented Sky Sports' Premier League Years. Dominic is a huge fan of Liverpool FC and is passionate about sport in general.",InstructGPT
factuality_2143,Not-supported,He grew up in the city's northern suburbs.,Jonathan Haagensen,"Jonathan Haagensen is a Brazilian actor and musician. He was born in Rio de Janeiro in 1980 and grew up in the city's northern suburbs. He made his acting debut in Fernando Meirelles' 2002 film City of God, for which he won two awards for Best Supporting Actor. He has since appeared in several Brazilian films, as well as the American film Fast Five. He has also released two albums as a musician, and has performed at major music festivals in Brazil.",InstructGPT
factuality_2144,Not-supported,He has produced and directed My Indian Soldier.,Ram Gopal Varma,"Ram Gopal Varma is an Indian film director, screenwriter, and producer, known for his work in Telugu and Hindi films. He has directed films across multiple genres, including horror, suspense, and comedy. He has also worked in television and music videos. Varma first gained recognition for his crime drama, Shiva (1989), which won critical acclaim and went on to become a cult classic. He has since directed several successful films, including Rangeela (1995), Satya (1998), Company (2002), Sarkar (2005), and The Attacks of 26/11 (2013). He has also produced and directed several documentaries, including the award-winning My Indian Soldier (2003). Varma has won several awards for his work, including two National Film Awards, five Filmfare Awards, two IIFA Awards, and two Star Screen Awards.",InstructGPT
factuality_2145,Not-supported,The movie was called The Christmas Tree.,Lanny Flaherty,"Lanny Flaherty (born October 2, 1973) is an American actor, director and producer. He is best known for his roles in the television series The Closer, Rizzoli & Isles and the film American Pie. He has also appeared in numerous other movies and television shows including Without a Trace, The West Wing, CSI: NY and Grey's Anatomy. Flaherty began his acting career in 1995 with a role in the television movie The Christmas Tree. Since then he has gone on to appear in a number of feature films including American Pie, The Dukes of Hazzard, Supercross and The Devil's Rejects. He has also directed episodes of the television series The Closer, Rizzoli & Isles and Without a Trace.",InstructGPT
factuality_2146,Not-supported,Zelma was a civil rights activist.,Zelma Wilson,"Zelma Wilson was born on October 19, 1940 in Atlanta, Georgia. She attended Spelman College and graduated with a degree in sociology and a minor in psychology. After college, Zelma worked for the Department of Health, Education, and Welfare, eventually moving to the Department of Labor in Washington, DC. She was the first African-American woman to be promoted to a management position in the Department of Labor, and was a leader in the Civil Rights Movement. In addition to her civil rights work, Zelma was a passionate advocate for women's rights and worked to promote equal employment opportunities for women in the workplace. She was also an active member of the National Council of Negro Women and the National Association for the Advancement of Colored People (NAACP). Zelma passed away in 2014 at the age of 73.",InstructGPT
factuality_2147,Not-supported,One of his solo albums is called Providence.,Jonathan Tucker,"Jonathan Tucker is an American actor and musician. He was born in Boston, Massachusetts, on May 31, 1982. He is best known for his roles in films such as The Texas Chainsaw Massacre (2003), Hostage (2005), The Ruins (2008), and The Black Donnellys (2007). He is also known for his roles in television series such as Parenthood (2010-2015) and Kingdom (2014-2017). He currently stars in the USA Network series Queen of the South. He was nominated for a Young Artist Award in 2002 for his performance in the film The Virgin Suicides. Outside of acting, Tucker is also a musician and has released two solo albums, City of Refuge and Providence, as well as a collaborative album with his sister, Nina, called The Lonesome Wilderness.",InstructGPT
factuality_2148,Not-supported,She moved with her family.,Hibo Wardere,"Hibo Wardere is a Somali-born British activist and author. She has been a campaigner for female genital mutilation (FGM) for over two decades. She was born in Somalia in 1977 and moved to England with her family in 1990. She is an outspoken advocate for the rights of FGM survivors and campaigns for the abolition of FGM worldwide. She has written several books, including her memoir Cut: One Woman’s Fight Against FGM in Britain Today. She has received numerous awards and honors, including an MBE from Queen Elizabeth II in 2018 for her work in the fight against FGM.",InstructGPT
factuality_2149,Not-supported,The Indians are a Cleveland sports team.,Mike Trivisonno,"Mike Trivisonno is a popular radio talk show host in Cleveland, Ohio. He is best known for his show, The Mike Trivisonno Show, which has aired on WTAM 1100 since 1982. Mike is an outspoken conservative, and often expresses his opinions on current events and politics. He is also an avid Cleveland sports fan, and regularly talks about the Indians, Browns, and Cavaliers. Outside of radio, Mike is a philanthropist and runs several charities. He has also authored two books, The Mike Trivisonno Story and The Mike Trivisonno Show: Listeners, Callers and Great Guests.",InstructGPT
factuality_2150,Not-supported,He won the title with the Kaiserslautern.,Gilberto Silva,"Gilberto Aparecido da Silva (born 7 October 1976) is a Brazilian former professional footballer who played as a defensive midfielder. He is currently the Technical Director of Brazilian club Atlético Mineiro. Gilberto began his career with América Mineiro in 1995, before moving to Atlético Mineiro the following season. In 1998, he was signed by German club Kaiserslautern and became the first Brazilian to play in the Bundesliga. He won the 1999–2000 Bundesliga title with the club, before joining Arsenal in 2002. He won the 2003–04 FA Cup and 2005–06 FA Cup with the Gunners, and was part of the team that went an entire league season unbeaten in 2003–04. He left Arsenal in 2008 and joined Greek side Panathinaikos, before returning to Atlético Mineiro in 2011. He was part of the Brazil squad that won the 2002 FIFA World Cup, and also represented his country at the 2006 World Cup.",InstructGPT
factuality_2151,Not-supported,He has been featured in publications.,Hesham Nazih,"Hesham Nazih is a Lebanese-born American entrepreneur, investor, and philanthropist. He is the founder and CEO of Nazih Group, a private equity and real estate investment firm. He is also the founder and chairman of the Nazih Foundation, a non-profit organization dedicated to providing funding for education, healthcare, and economic development in the Middle East. He is a graduate of the American University of Beirut and Harvard Business School. He is an active investor in numerous companies in the Middle East, Africa, and Europe, and has served on the boards of several companies and foundations. He has been recognized for his philanthropic work and has been featured in publications such as the Wall Street Journal and Forbes.",InstructGPT
factuality_2152,Not-supported,Snipers: Invisible Warriors is a documentary film.,Rob Furlong,"Rob Furlong is a Canadian sniper and former member of the Canadian Armed Forces. He is best known for holding the record for the longest confirmed kill shot in military history, at 2,430 metres (2,657 yards). He served in the Canadian Army from 1992 to 2006 and was deployed to Afghanistan with the Princess Patricia's Canadian Light Infantry (PPCLI) in 2002. During his tour, he was responsible for eliminating several high-value Taliban targets. After his military service, Furlong became a motivational speaker and is the author of two books, Sniper One and Sniper One: The Blistering True Story of a British Battle Group Under Siege. He is also featured in the documentary film Snipers: Invisible Warriors, and is considered one of the most successful snipers in modern history.",InstructGPT
factuality_2153,Not-supported,"He has served as a member of the Joint Standing Committee on Foreign Affairs, Defence and Trade.",Shayne Neumann,"Shayne Neumann is an Australian politician who has been the Member of Parliament for Blair in Queensland since 2007. He is a member of the Australian Labor Party and served as Shadow Minister for Veterans' Affairs from 2013 to 2019. Neumann was born in Brisbane and attended Brisbane State High School and the University of Queensland, where he completed a Bachelor of Arts degree. He then went on to practice as a lawyer in Queensland for over 25 years. Neumann was first elected to the House of Representatives in 2007, and was re-elected four times. In 2013, he was appointed Shadow Minister for Immigration and Border Protection and then, in 2016, Shadow Minister for Veterans' Affairs. He has also served as a member of the Joint Standing Committee on Foreign Affairs, Defence and Trade.",InstructGPT
factuality_2154,Not-supported,She earned her PhD in Experimental Psychology.,Vaira Vīķe-Freiberga,"Vaira Vīķe-Freiberga (born 1 December 1937) is a Latvian psychologist, politician, and the sixth President of Latvia (1999-2007). She is the first woman to serve as Latvian president and the first female President of the Baltic states. Vaira was born into a middle-class family in Riga. She studied psychology at the University of Latvia and the University of Montreal, where she earned her PhD in Experimental Psychology in 1965. She taught at the University of Montreal and the University of Latvia before becoming a professor at the University of Latvia in 1967. She was elected as the President of Latvia in 1999, and served until 2007. During her tenure, she focused on strengthening Latvia's international standing and promoting the country's economic development. She has also been involved in many international organisations, such as the United Nations and the Council of Europe. She is currently an honorary professor at the University of Latvia and a member of the European Council on Foreign Relations.",InstructGPT
factuality_2155,Not-supported,He is a widely recognized authority.,Nisar Ahmad Kakru,"Nisar Ahmad Kakru is a noted Indian homeopathic physician and professor who has served as the Principal of the Government Homeopathic Medical College in Srinagar. He is a widely recognized authority on homeopathic medicine and has authored several books, including the book “Textbook of Homeopathy for Practitioners”. Kakru graduated from the Government Homeopathic Medical College in Srinagar in the year 1971 and completed his post-graduation in the year 1974 from the same college. He also obtained a Masters in Homeopathic Medicine from Bombay University in the year 1981. Kakru has held several prestigious positions such as the Director of the Central Council of Homeopathy in Delhi and the Vice-President of the Indian Homeopathic Medical Association. He has also served as the President of the Indian Association of Homeopathic Physicians. Kakru has been honored with numerous awards for his contributions to the field of homeopathy, including the Padma Shri Award in the year 2006.",InstructGPT
factuality_2156,Not-supported,Jeeva was released in 2014.,Besant Ravi,"Besant Ravi is a renowned Indian actor, writer, producer, and director. He is best known for his roles in films like ""Theeran Adhigaram Ondru"" (2017), ""Aruvi"" (2017), ""Thevar Magan"" (1992), ""Mudhalvan"" (1999), and ""Vishwaroopam"" (2013). He has also directed films like ""Jeeva"" (2014), ""Vasuvum Saravananum Onna Padichavanga"" (2015), and ""Kaaka Muttai"" (2015). He was born in Chennai and is an alumnus of the Madras Film Institute. He has also written and directed several plays and short films. He is currently working on a biopic on the life of the legendary actor Sivaji Ganesan.",InstructGPT
factuality_2157,Not-supported,Courtney Bingham is a model.,Nikki Sixx,"Nikki Sixx (born Frank Carlton Serafino Feranna, Jr.) is an American musician, songwriter, radio host, and photographer. He is most famous as the co-founder, bassist, and primary songwriter of the heavy metal band Mötley Crüe. He is also the founder of bands Sixx:A.M. and Brides of Destruction, and is the host of the nationally syndicated rock/talk show, Sixx Sense. Sixx has also been featured on several television shows, including Celebrity Rehab with Dr. Drew and Sober House. He is currently married to model Courtney Bingham and has two children.",InstructGPT
factuality_2158,Not-supported,He is known for the poignant lyrics in his music.,James Taylor,"James Taylor is an American singer-songwriter and guitarist. He was born in Boston, Massachusetts in 1948. He is best known for his soft-rock music, which often contains introspective and poignant lyrics, and his distinctive voice. Taylor achieved his breakthrough in 1970 with his single ""Fire and Rain"" and had his first number one hit in 1971 with ""You've Got a Friend"". He has recorded more than 20 studio albums and has sold more than 100 million records worldwide. Taylor is one of the best-selling artists of all time, and was inducted into the Rock and Roll Hall of Fame in 2000. He continues to tour and perform live, and his latest studio album, American Standard, was released in 2020.",InstructGPT
factuality_2159,Not-supported,Gaynor began her career on Broadway.,Mitzi Gaynor,"Mitzi Gaynor (born September 4, 1931) is an American actress, singer, and dancer. She is best known for her performances in several classic movie musicals from the mid-1950s to the early 1970s, including South Pacific (1958), There's No Business Like Show Business (1954), and Les Girls (1957). She also starred in the Broadway musicals Wonderful Town (1953) and Follies (1971). Gaynor began her career as a chorus girl on Broadway before transitioning to film and television. She has appeared in numerous television series such as The Mitzi Gaynor Show, The Merv Griffin Show, and The Hollywood Palace. She also released several albums, including Mitzi (1959) and Mitzi Gaynor Sings the Lyrics of Ira Gershwin (1960). Gaynor has been honored with numerous awards and accolades, including a star on the Hollywood Walk of Fame and a lifetime achievement award from the American Society of Cinematographers.",InstructGPT
factuality_2160,Not-supported,He was named on three occasions.,Jimmy Bartel,"Jimmy Bartel is a former professional Australian rules footballer who played for the Geelong Football Club in the Australian Football League (AFL). He was drafted by Geelong in the 2001 AFL Draft and went on to win three AFL premierships with the club, in 2007, 2009 and 2011. He was awarded the Brownlow Medal in 2007 and the Norm Smith Medal in 2011. He was also named in the All-Australian team on three occasions in 2007, 2008 and 2011. After Geelong's 2011 Grand Final victory, Bartel retired from AFL football. He is now a media personality, appearing on Channel 7's The Front Bar, and is involved in various charities, including the Jimmy Bartel Foundation, which provides support to those suffering from depression and anxiety.",InstructGPT
